sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:19:27.",Full,Sol-00441M16:19:27.493,NASA/JPL-Caltech,2022-05-18T00:08:45.764,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,228.77,-9.26505,706104126.871,2,"(0.0,0.0,0.0)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_1200.jpg,UNK,"(-0.8876069197913048,-0.4397170668209963,-0.1371235103289418)","(0.874465,0.319112,-1.95441);(-0.644761,-0.745099,0.170666);(284.445,-1926.28,219.225);(-462.759,-535.808,1619.81);(-0.64513,-0.744952,0.169912);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.874465,0.319112,-1.95441)",NAVCAM_RIGHT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:19:27.",Full,Sol-00441M16:19:27.493,NASA/JPL-Caltech,2022-05-18T00:08:45.764,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,228.77,-9.26505,706104126.871,2,"(0.0,0.0,0.0)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_1200.jpg,UNK,"(-0.3175992353588363,-0.938123027575659,-0.13804314844193427)","(0.874465,0.319112,-1.95441);(-0.644761,-0.745099,0.170666);(1104.58,-978.512,2.13762);(-462.759,-535.808,1619.81);(-0.64513,-0.744952,0.169912);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.874465,0.319112,-1.95441)",NAVCAM_RIGHT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:19:27.",Full,Sol-00441M16:19:27.493,NASA/JPL-Caltech,2022-05-18T00:08:45.666,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J,0,Mars Perseverance Sol 441: Left Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,228.432,-9.46804,706104126.773,2,"(0.0,0.0,0.0)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_01_195J01_1200.jpg,UNK,"(-0.8897483491459824,-0.43677072335124617,-0.13258661476645323)","(0.553524,0.596746,-1.95437);(-0.644389,-0.745062,0.172226);(282.736,-1934.38,220.365);(-457.007,-532.674,1624.05);(-0.643306,-0.745974,0.172324);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.553524,0.596746,-1.95437)",NAVCAM_LEFT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:19:27.",Full,Sol-00441M16:19:27.493,NASA/JPL-Caltech,2022-05-18T00:08:45.666,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J,0,Mars Perseverance Sol 441: Left Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,228.432,-9.46804,706104126.773,2,"(0.0,0.0,0.0)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706104122_602ECM_N0250000NCAM13441_04_195J01_1200.jpg,UNK,"(-0.3226745717476393,-0.9368303446188788,-0.1350186140824672)","(0.553524,0.596746,-1.95437);(-0.644389,-0.745062,0.172226);(1102.4,-986.658,1.29341);(-457.007,-532.674,1624.05);(-0.643306,-0.745974,0.172324);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.553524,0.596746,-1.95437)",NAVCAM_LEFT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:17:04.",Full,Sol-00441M16:17:04.306,NASA/JPL-Caltech,2022-05-18T00:06:18.021,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,155.161,-17.5549,706103979.129,2,"(0.0,0.0,0.0)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_1200.jpg,UNK,"(-0.6812820694709143,0.7320140927035095,-0.0031796070333000785)","(0.590618,0.426605,-1.93487);(-0.865097,0.393627,0.310936);(-1727.63,-835.036,396.866);(-426.81,189.726,1704.95);(-0.865156,0.394069,0.31021);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.590618,0.426605,-1.93487)",NAVCAM_RIGHT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:17:04.",Full,Sol-00441M16:17:04.306,NASA/JPL-Caltech,2022-05-18T00:06:18.021,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,155.161,-17.5549,706103979.129,2,"(0.0,0.0,0.0)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_1200.jpg,UNK,"(-0.9989862612586277,0.04471652662438482,-0.005184791525180904)","(0.590618,0.426605,-1.93487);(-0.865097,0.393627,0.310936);(-627.227,-1335.73,1.35476);(-426.81,189.726,1704.95);(-0.865156,0.394069,0.31021);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.590618,0.426605,-1.93487)",NAVCAM_RIGHT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:17:04.",Full,Sol-00441M16:17:04.306,NASA/JPL-Caltech,2022-05-18T00:06:17.919,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J,0,Mars Perseverance Sol 441: Left Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,154.811,-17.7582,706103979.027,2,"(0.0,0.0,0.0)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_01_195J01_1200.jpg,UNK,"(-0.6784694751802707,0.7346276177486634,0.001197701770701938)","(0.766591,0.812761,-1.93389);(-0.864756,0.393186,0.31244);(-1735.68,-835.777,399.033);(-421.689,184.857,1708.25);(-0.865314,0.391883,0.312532);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.766591,0.812761,-1.93389)",NAVCAM_LEFT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:17:04.",Full,Sol-00441M16:17:04.306,NASA/JPL-Caltech,2022-05-18T00:06:17.919,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J,0,Mars Perseverance Sol 441: Left Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,154.811,-17.7582,706103979.027,2,"(0.0,0.0,0.0)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NLF_0441_0706103975_479ECM_N0250000NCAM13441_04_195J01_1200.jpg,UNK,"(-0.9987595039154212,0.04975992794070861,-0.0018446977956549943)","(0.766591,0.812761,-1.93389);(-0.864756,0.393186,0.31244);(-635.707,-1335.91,1.60919);(-421.689,184.857,1708.25);(-0.865314,0.391883,0.312532);(1.736e-06,0.0501396,-0.0171254);(-8e-09,1e-08,-2.9e-08);2.0;0.0","(0.766591,0.812761,-1.93389)",NAVCAM_LEFT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:15:03.",Full,Sol-00441M16:15:03.266,NASA/JPL-Caltech,2022-05-18T00:04:11.058,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,81.4894,-9.80774,706103852.167,2,"(0.0,0.0,0.0)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_01_195J01_1200.jpg,UNK,"(0.5097124247559284,0.8507954790193244,-0.1278291708872064)","(0.616739,0.724443,-1.95347);(0.139449,0.973743,0.179983);(-1280.79,1465.17,228.754);(95.0221,686.078,1626.44);(0.139842,0.973826,0.179231);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.616739,0.724443,-1.95347)",NAVCAM_RIGHT,CAHVORE
441,"(0.173627,-0.0989902,0.0302301,-0.979357)",NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on May 18, 2022 (Sol 441) at the local mean solar time of 16:15:03.",Full,Sol-00441M16:15:03.266,NASA/JPL-Caltech,2022-05-18T00:04:11.058,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J,0,Mars Perseverance Sol 441: Right Navigation Camera (Navcam),25,2022-05-18T05:42:20Z,81.4894,-9.80774,706103852.167,2,"(0.0,0.0,0.0)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00441/ids/edr/browse/ncam/NRF_0441_0706103851_113ECM_N0250000NCAM13441_04_195J01_1200.jpg,UNK,"(-0.23921532587673605,0.9622266952901295,-0.12998390183681682)","(0.616739,0.724443,-1.95347);(0.139449,0.973743,0.179983);(-1458.17,226.572,-0.183813);(95.0221,686.078,1626.44);(0.139842,0.973826,0.179231);(4.24e-07,0.0517186,-0.0187155);(1.2e-08,3e-08,-3e-09);2.0;0.0","(0.616739,0.724443,-1.95347)",NAVCAM_RIGHT,CAHVORE
